"operator","volatility","cluster"
"Avanti West Coast",10.2971111406883,3
"C2c",12.3490115833899,3
"Caledonian Sleeper",0.0890638071529066,3
"Chiltern Railways",7.27194100255665,3
"Cross Country",10.7933899884826,3
"East Midlands Railway",7.87526688140865,3
"Elizabeth Line",47.5725247059765,2
"Govia Thameslink Railway",90.7802559407466,2
"Grand Central",0.427937294505975,3
"Great Western Railway",28.8519980608453,3
"Greater Anglia",31.387798531485,3
"Heathrow Express",1.71338304439997,3
"Hull Trains",0.328180448567905,3
"London North Eastern Railway",6.55168280127301,3
"London Overground",49.879735014692,2
"Lumo",0.368249333408454,3
"Merseyrail",9.15217725617176,3
"Northern Trains",28.6016654223504,3
"Scot Rail",26.486669645044,3
"South Western Railway",61.6568871581899,2
"Southeastern",50.0971911279088,2
"Tf W Rail",9.03650251854349,3
"Total",484.811868151122,1
"Trans Pennine Express",7.92761890600614,3
"West Midlands Trains",20.3549083767698,3
"Wrexham And Shropshire Railway Company",0.0139339141082114,3
