"code","operator"
"X1","avanti_west_coast_million"
"X2","c2c_million"
"X3","caledonian_sleeper_million_note_2"
"X4","chiltern_railways_million"
"X5","cross_country_million"
"X6","east_midlands_railway_million"
"X7","elizabeth_line_million_note_6"
"X8","govia_thameslink_railway_million"
"X9","great_western_railway_million"
"X10","greater_anglia_million"
"X11","london_north_eastern_railway_million"
"X12","london_overground_million"
"X13","merseyrail_million"
"X14","northern_trains_million"
"X15","scot_rail_million"
"X16","south_western_railway_million"
"X17","southeastern_million"
"X18","tf_w_rail_million"
"X19","trans_pennine_express_million"
"X20","west_midlands_trains_million"
"X21","grand_central_million_note_3"
"X22","heathrow_express_million"
"X23","hull_trains_million_note_4"
"X24","lumo_million_note_5"
"X25","wrexham_and_shropshire_railway_company_million"
"X26","total_million_note_1"
